Recipe Name,Ingredients,Instructions
Vegetable Cutlet Variant 56,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Malai Kofta Variant 57,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Malai Kofta Variant 58,"Chicken, Garlic, Ginger, Onion, Tomato","Prepare masala base, add main ingredient and cook till done."
Vegetable Soup Variant 59,"Paneer, Cream, Butter, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Veg Kurma Variant 60,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Curd Rice Variant 61,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Lemon Rice Variant 62,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Besan Ladoo Variant 63,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Paneer Tikka Variant 64,"Onion, Tomato, Spices, Oil, Salt","Combine ingredients, cook covered for 15 minutes and serve."
Veg Manchurian Variant 65,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Veg Manchurian Variant 66,"Chicken, Garlic, Ginger, Onion, Tomato","Prepare masala base, add main ingredient and cook till done."
Veg Momos Variant 67,"Rice, Vegetables, Ghee, Saffron, Spices","Prepare masala base, add main ingredient and cook till done."
Kashmiri Pulao Variant 68,"Chicken, Garlic, Ginger, Onion, Tomato","Prepare masala base, add main ingredient and cook till done."
Besan Ladoo Variant 69,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Sabudana Khichdi Variant 70,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Chicken Tikka Variant 71,"Paneer, Cream, Butter, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Prawn Curry Variant 72,"Lentils, Ghee, Cumin, Mustard Seeds",Cook all ingredients on medium flame till soft and aromatic.
Veg Kurma Variant 73,"Lentils, Ghee, Cumin, Mustard Seeds","Prepare masala base, add main ingredient and cook till done."
Paneer Fried Rice Variant 74,"Rice, Vegetables, Ghee, Saffron, Spices",Cook all ingredients on medium flame till soft and aromatic.
Vegetable Soup Variant 75,"Rice, Vegetables, Ghee, Saffron, Spices","Heat oil, add spices, mix well and cook till desired texture."
Rasgulla Variant 76,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Vegetable Soup Variant 77,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Hakka Noodles Variant 78,"Lentils, Ghee, Cumin, Mustard Seeds","Prepare masala base, add main ingredient and cook till done."
Mushroom Curry Variant 79,"Rice, Vegetables, Ghee, Saffron, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Curd Rice Variant 80,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Paneer Tikka Variant 81,"Rice, Vegetables, Ghee, Saffron, Spices","Prepare masala base, add main ingredient and cook till done."
Egg Fried Rice Variant 82,"Chicken, Garlic, Ginger, Onion, Tomato","Prepare masala base, add main ingredient and cook till done."
Veg Kurma Variant 83,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Veg Manchurian Variant 84,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Veg Manchurian Variant 85,"Paneer, Cream, Butter, Spices","Prepare masala base, add main ingredient and cook till done."
Rasgulla Variant 86,"Rice, Vegetables, Ghee, Saffron, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Methi Malai Matar Variant 87,"Onion, Tomato, Spices, Oil, Salt","Combine ingredients, cook covered for 15 minutes and serve."
Paratha Variant 88,"Paneer, Cream, Butter, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Chicken 65 Variant 89,"Onion, Tomato, Spices, Oil, Salt","Combine ingredients, cook covered for 15 minutes and serve."
Hakka Noodles Variant 90,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Malai Kofta Variant 91,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Jeera Rice Variant 92,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Curd Rice Variant 93,"Rice, Vegetables, Ghee, Saffron, Spices","Heat oil, add spices, mix well and cook till desired texture."
Pesarattu Variant 94,"Lentils, Ghee, Cumin, Mustard Seeds",Cook all ingredients on medium flame till soft and aromatic.
Chicken 65 Variant 95,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Curd Rice Variant 96,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Paneer Tikka Variant 97,"Paneer, Cream, Butter, Spices","Heat oil, add spices, mix well and cook till desired texture."
Chicken Momos Variant 98,"Rice, Vegetables, Ghee, Saffron, Spices",Cook all ingredients on medium flame till soft and aromatic.
Chicken Tikka Variant 99,"Lentils, Ghee, Cumin, Mustard Seeds","Mix and sauté all items, simmer for 10 minutes and serve hot."
Egg Fried Rice Variant 100,"Paneer, Cream, Butter, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Paneer Tikka Variant 101,"Paneer, Cream, Butter, Spices","Heat oil, add spices, mix well and cook till desired texture."
Jeera Rice Variant 102,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Chili Paneer Variant 103,"Chicken, Garlic, Ginger, Onion, Tomato","Heat oil, add spices, mix well and cook till desired texture."
Dal Makhani Variant 104,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Jeera Rice Variant 105,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Sabudana Khichdi Variant 106,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Pesarattu Variant 107,"Chicken, Garlic, Ginger, Onion, Tomato","Combine ingredients, cook covered for 15 minutes and serve."
Vegetable Soup Variant 108,"Chicken, Garlic, Ginger, Onion, Tomato","Prepare masala base, add main ingredient and cook till done."
Besan Ladoo Variant 109,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Methi Malai Matar Variant 110,"Lentils, Ghee, Cumin, Mustard Seeds","Mix and sauté all items, simmer for 10 minutes and serve hot."
Veg Momos Variant 111,"Rice, Vegetables, Ghee, Saffron, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Hakka Noodles Variant 112,"Lentils, Ghee, Cumin, Mustard Seeds",Cook all ingredients on medium flame till soft and aromatic.
Pesarattu Variant 113,"Chicken, Garlic, Ginger, Onion, Tomato","Combine ingredients, cook covered for 15 minutes and serve."
Veg Momos Variant 114,"Rice, Vegetables, Ghee, Saffron, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Chili Paneer Variant 115,"Paneer, Cream, Butter, Spices","Heat oil, add spices, mix well and cook till desired texture."
Moong Dal Halwa Variant 116,"Chicken, Garlic, Ginger, Onion, Tomato","Prepare masala base, add main ingredient and cook till done."
Rasgulla Variant 117,"Paneer, Cream, Butter, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Prawn Curry Variant 118,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Egg Curry Dry Variant 119,"Chicken, Garlic, Ginger, Onion, Tomato","Combine ingredients, cook covered for 15 minutes and serve."
Lemon Rice Variant 120,"Lentils, Ghee, Cumin, Mustard Seeds","Mix and sauté all items, simmer for 10 minutes and serve hot."
Lemon Rice Variant 121,"Chicken, Garlic, Ginger, Onion, Tomato","Prepare masala base, add main ingredient and cook till done."
Methi Malai Matar Variant 122,"Lentils, Ghee, Cumin, Mustard Seeds","Prepare masala base, add main ingredient and cook till done."
Veg Kurma Variant 123,"Rice, Vegetables, Ghee, Saffron, Spices",Cook all ingredients on medium flame till soft and aromatic.
Chicken 65 Variant 124,"Chicken, Garlic, Ginger, Onion, Tomato","Prepare masala base, add main ingredient and cook till done."
Sabudana Khichdi Variant 125,"Rice, Vegetables, Ghee, Saffron, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Malai Kofta Variant 126,"Chicken, Garlic, Ginger, Onion, Tomato","Mix and sauté all items, simmer for 10 minutes and serve hot."
Paratha Variant 127,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Chicken Momos Variant 128,"Lentils, Ghee, Cumin, Mustard Seeds","Prepare masala base, add main ingredient and cook till done."
Tamarind Rice Variant 129,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Gajar Halwa Variant 130,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Veg Kurma Variant 131,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Tandoori Chicken Variant 132,"Lentils, Ghee, Cumin, Mustard Seeds",Cook all ingredients on medium flame till soft and aromatic.
Aloo Matar Variant 133,"Chicken, Garlic, Ginger, Onion, Tomato","Combine ingredients, cook covered for 15 minutes and serve."
Gajar Halwa Variant 134,"Onion, Tomato, Spices, Oil, Salt","Combine ingredients, cook covered for 15 minutes and serve."
Gajar Halwa Variant 135,"Rice, Vegetables, Ghee, Saffron, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Poori Bhaji Variant 136,"Onion, Tomato, Spices, Oil, Salt","Combine ingredients, cook covered for 15 minutes and serve."
Pesarattu Variant 137,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Vegetable Cutlet Variant 138,"Paneer, Cream, Butter, Spices","Prepare masala base, add main ingredient and cook till done."
Veg Manchurian Variant 139,"Onion, Tomato, Spices, Oil, Salt","Heat oil, add spices, mix well and cook till desired texture."
Mutton Korma Variant 140,"Rice, Vegetables, Ghee, Saffron, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Dal Makhani Variant 141,"Rice, Vegetables, Ghee, Saffron, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Vegetable Soup Variant 142,"Rice, Vegetables, Ghee, Saffron, Spices",Cook all ingredients on medium flame till soft and aromatic.
Dal Makhani Variant 143,"Rice, Vegetables, Ghee, Saffron, Spices","Heat oil, add spices, mix well and cook till desired texture."
Paneer Tikka Variant 144,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Crab Masala Variant 145,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Chicken Momos Variant 146,"Lentils, Ghee, Cumin, Mustard Seeds","Combine ingredients, cook covered for 15 minutes and serve."
Paneer Fried Rice Variant 147,"Onion, Tomato, Spices, Oil, Salt","Heat oil, add spices, mix well and cook till desired texture."
Hakka Noodles Variant 148,"Lentils, Ghee, Cumin, Mustard Seeds","Mix and sauté all items, simmer for 10 minutes and serve hot."
Veg Momos Variant 149,"Chicken, Garlic, Ginger, Onion, Tomato","Mix and sauté all items, simmer for 10 minutes and serve hot."
Vegetable Cutlet Variant 150,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Paratha Variant 151,"Chicken, Garlic, Ginger, Onion, Tomato","Heat oil, add spices, mix well and cook till desired texture."
Chicken Tikka Variant 152,"Chicken, Garlic, Ginger, Onion, Tomato","Prepare masala base, add main ingredient and cook till done."
Veg Manchurian Variant 153,"Lentils, Ghee, Cumin, Mustard Seeds","Mix and sauté all items, simmer for 10 minutes and serve hot."
Vegetable Soup Variant 154,"Onion, Tomato, Spices, Oil, Salt","Heat oil, add spices, mix well and cook till desired texture."
Veg Kurma Variant 155,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Fish Fry Variant 156,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Chicken Tikka Variant 157,"Paneer, Cream, Butter, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Tomato Soup Variant 158,"Rice, Vegetables, Ghee, Saffron, Spices","Prepare masala base, add main ingredient and cook till done."
Prawn Curry Variant 159,"Rice, Vegetables, Ghee, Saffron, Spices","Heat oil, add spices, mix well and cook till desired texture."
Rasgulla Variant 160,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Poori Bhaji Variant 161,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Paneer Tikka Variant 162,"Chicken, Garlic, Ginger, Onion, Tomato","Mix and sauté all items, simmer for 10 minutes and serve hot."
Lemon Rice Variant 163,"Chicken, Garlic, Ginger, Onion, Tomato","Heat oil, add spices, mix well and cook till desired texture."
Paneer Fried Rice Variant 164,"Paneer, Cream, Butter, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Dal Makhani Variant 165,"Chicken, Garlic, Ginger, Onion, Tomato","Heat oil, add spices, mix well and cook till desired texture."
Paneer Fried Rice Variant 166,"Rice, Vegetables, Ghee, Saffron, Spices","Heat oil, add spices, mix well and cook till desired texture."
Fish Fry Variant 167,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Moong Dal Halwa Variant 168,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Chicken Tikka Variant 169,"Chicken, Garlic, Ginger, Onion, Tomato","Mix and sauté all items, simmer for 10 minutes and serve hot."
Chapati Variant 170,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Fish Fry Variant 171,"Onion, Tomato, Spices, Oil, Salt","Combine ingredients, cook covered for 15 minutes and serve."
Jeera Rice Variant 172,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Vegetable Cutlet Variant 173,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Paneer Fried Rice Variant 174,"Chicken, Garlic, Ginger, Onion, Tomato","Combine ingredients, cook covered for 15 minutes and serve."
Tomato Soup Variant 175,"Rice, Vegetables, Ghee, Saffron, Spices","Heat oil, add spices, mix well and cook till desired texture."
Aloo Matar Variant 176,"Rice, Vegetables, Ghee, Saffron, Spices","Prepare masala base, add main ingredient and cook till done."
Moong Dal Halwa Variant 177,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Prawn Curry Variant 178,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Prawn Curry Variant 179,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Sabudana Khichdi Variant 180,"Lentils, Ghee, Cumin, Mustard Seeds","Mix and sauté all items, simmer for 10 minutes and serve hot."
Jeera Rice Variant 181,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Malai Kofta Variant 182,"Chicken, Garlic, Ginger, Onion, Tomato",Cook all ingredients on medium flame till soft and aromatic.
Egg Fried Rice Variant 183,"Rice, Vegetables, Ghee, Saffron, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Rasgulla Variant 184,"Paneer, Cream, Butter, Spices","Combine ingredients, cook covered for 15 minutes and serve."
Paratha Variant 185,"Paneer, Cream, Butter, Spices","Prepare masala base, add main ingredient and cook till done."
Methi Malai Matar Variant 186,"Onion, Tomato, Spices, Oil, Salt","Prepare masala base, add main ingredient and cook till done."
Egg Curry Dry Variant 187,"Chicken, Garlic, Ginger, Onion, Tomato","Heat oil, add spices, mix well and cook till desired texture."
Sooji Halwa Variant 188,"Lentils, Ghee, Cumin, Mustard Seeds","Combine ingredients, cook covered for 15 minutes and serve."
Poori Bhaji Variant 189,"Onion, Tomato, Spices, Oil, Salt","Combine ingredients, cook covered for 15 minutes and serve."
Jeera Rice Variant 190,"Onion, Tomato, Spices, Oil, Salt","Heat oil, add spices, mix well and cook till desired texture."
Tamarind Rice Variant 191,"Onion, Tomato, Spices, Oil, Salt","Mix and sauté all items, simmer for 10 minutes and serve hot."
Gajar Halwa Variant 192,"Rice, Vegetables, Ghee, Saffron, Spices","Prepare masala base, add main ingredient and cook till done."
Prawn Curry Variant 193,"Lentils, Ghee, Cumin, Mustard Seeds","Heat oil, add spices, mix well and cook till desired texture."
Tomato Soup Variant 194,"Rice, Vegetables, Ghee, Saffron, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Paneer Tikka Variant 195,"Paneer, Cream, Butter, Spices","Mix and sauté all items, simmer for 10 minutes and serve hot."
Paratha Variant 196,"Lentils, Ghee, Cumin, Mustard Seeds","Combine ingredients, cook covered for 15 minutes and serve."
Tomato Soup Variant 197,"Paneer, Cream, Butter, Spices",Cook all ingredients on medium flame till soft and aromatic.
Jeera Rice Variant 198,"Paneer, Cream, Butter, Spices","Prepare masala base, add main ingredient and cook till done."
Paneer Fried Rice Variant 199,"Onion, Tomato, Spices, Oil, Salt",Cook all ingredients on medium flame till soft and aromatic.
Aloo Matar Variant 200,"Chicken, Garlic, Ginger, Onion, Tomato","Combine ingredients, cook covered for 15 minutes and serve."
Mutton Korma Variant 201,"Chicken, Garlic, Ginger, Onion, Tomato","Mix and sauté all items, simmer for 10 minutes and serve hot."
